"job_id","job_title","company_name","location","experience_required_years","skills","salary_min_inr","salary_max_inr","employment_type","remote_option"
1,"Data Analyst","Flipkart","Noida",3,"Kubernetes, Docker, Tableau","735003.00","1098465.00","Internship","Hybrid"
2,"ML Engineer","Infosys","Kolkata",3,"Python, React, Tableau","905315.00","1047637.00","Internship","Hybrid"
3,"ML Engineer","Cognizant","Hyderabad",11,"Node.js, Machine Learning, SQL","1733025.00","1964890.00","Internship","Remote"
4,"Backend Developer","Flipkart","Chennai",4,"Python, Machine Learning, React","801572.00","1141406.00","Contract","Hybrid"
5,"Data Analyst","Cognizant","Kolkata",15,"Power BI, Docker, Azure","818144.00","1208834.00","Contract","Remote"
6,"Cybersecurity Analyst","HCLTech","Mumbai",0,"Python, Docker, SQL","1675732.00","2047306.00","Internship","Remote"
7,"DevOps Engineer","Infosys","Kolkata",15,"React, Tableau, Docker","1685746.00","1860411.00","Contract","Remote"
8,"DevOps Engineer","Cognizant","Pune",15,"Azure, Node.js, Python","1345141.00","1732528.00","Full-time","Onsite"
9,"Business Analyst","HCLTech","Chennai",15,"Node.js, Tableau, React","980486.00","1354630.00","Internship","Hybrid"
10,"DevOps Engineer","Infosys","Kolkata",10,"Node.js, Docker, Azure","770506.00","1022585.00","Contract","Onsite"
11,"DevOps Engineer","Tech Mahindra","Hyderabad",8,"AWS, Power BI, Java","1704842.00","1838551.00","Contract","Onsite"
12,"Data Analyst","HCLTech","Pune",2,"SQL, Kubernetes, Python","400224.00","736798.00","Internship","Hybrid"
13,"Frontend Developer","Flipkart","Kolkata",10,"Node.js, Java, Docker","612278.00","714968.00","Full-time","Hybrid"
14,"Business Analyst","Cognizant","Mumbai",9,"Java, Kubernetes, Azure","637590.00","1002209.00","Internship","Hybrid"
15,"DevOps Engineer","TCS","Hyderabad",6,"Power BI, SQL, Python","1011503.00","1384148.00","Contract","Remote"
16,"Frontend Developer","Capgemini","Delhi NCR",0,"React, Azure, Tableau","1256914.00","1370435.00","Contract","Onsite"
17,"Cybersecurity Analyst","Flipkart","Pune",5,"Power BI, Kubernetes, Machine Learning","1578495.00","1978187.00","Contract","Remote"
18,"ML Engineer","HCLTech","Mumbai",12,"Python, React, Docker","2322914.00","2459356.00","Full-time","Hybrid"
19,"ML Engineer","Zoho","Pune",4,"Docker, Java, React","1914687.00","2025419.00","Internship","Onsite"
20,"DevOps Engineer","Cognizant","Chennai",13,"Java, Machine Learning, Node.js","1272117.00","1595125.00","Contract","Hybrid"
21,"Cybersecurity Analyst","Tech Mahindra","Kolkata",14,"Tableau, SQL, Docker","1471864.00","1722686.00","Internship","Hybrid"
22,"Data Analyst","Capgemini","Delhi NCR",0,"Power BI, Docker, Java","624742.00","846028.00","Full-time","Hybrid"
23,"Software Engineer","Flipkart","Chennai",6,"Docker, Kubernetes, AWS","1237571.00","1632222.00","Internship","Hybrid"
24,"Business Analyst","Accenture","Hyderabad",4,"Power BI, Java, SQL","781123.00","1172487.00","Internship","Onsite"
25,"Frontend Developer","Tech Mahindra","Chennai",3,"Kubernetes, SQL, Azure","1207447.00","1404699.00","Contract","Onsite"
26,"Backend Developer","Accenture","Noida",0,"Python, Node.js, SQL","768565.00","901531.00","Full-time","Onsite"
27,"Backend Developer","Capgemini","Bangalore",11,"Power BI, Machine Learning, Kubernetes","628996.00","778210.00","Full-time","Remote"
28,"Cybersecurity Analyst","Accenture","Noida",11,"Azure, Machine Learning, Python","1493646.00","1656267.00","Internship","Remote"
29,"DevOps Engineer","Infosys","Chennai",10,"Power BI, Machine Learning, Kubernetes","749625.00","997175.00","Full-time","Remote"
30,"Frontend Developer","Wipro","Hyderabad",1,"SQL, Python, Java","657039.00","1051092.00","Internship","Hybrid"
31,"Business Analyst","Flipkart","Mumbai",0,"Machine Learning, Power BI, React","1179365.00","1437826.00","Contract","Onsite"
32,"DevOps Engineer","TCS","Noida",5,"Azure, Java, AWS","1160461.00","1326106.00","Full-time","Onsite"
33,"Backend Developer","Tech Mahindra","Mumbai",13,"React, Kubernetes, SQL","1067436.00","1418487.00","Full-time","Remote"
34,"Data Scientist","Zoho","Delhi NCR",8,"Python, React, Node.js","2163595.00","2533103.00","Internship","Onsite"
35,"Cybersecurity Analyst","Tech Mahindra","Pune",4,"Docker, Azure, Machine Learning","722257.00","938564.00","Full-time","Hybrid"
36,"Frontend Developer","Flipkart","Chennai",15,"AWS, Java, Power BI","931577.00","1271470.00","Full-time","Hybrid"
37,"Data Scientist","Wipro","Hyderabad",13,"Azure, Machine Learning, Docker","1543298.00","1917619.00","Internship","Hybrid"
38,"Software Engineer","Flipkart","Chennai",6,"Kubernetes, Python, Power BI","711291.00","820912.00","Contract","Remote"
39,"Cloud Engineer","Wipro","Noida",3,"Machine Learning, Docker, Azure","1131442.00","1498179.00","Contract","Onsite"
40,"Business Analyst","Accenture","Chennai",5,"Machine Learning, Java, Power BI","1194435.00","1393932.00","Full-time","Remote"
41,"Data Scientist","Zoho","Mumbai",13,"Node.js, Docker, Python","2070771.00","2422435.00","Full-time","Hybrid"
42,"Cloud Engineer","Zoho","Bangalore",0,"Machine Learning, SQL, Node.js","1103553.00","1289503.00","Contract","Onsite"
43,"Cloud Engineer","Tech Mahindra","Kolkata",4,"SQL, Node.js, Power BI","1123435.00","1353539.00","Contract","Remote"
44,"Backend Developer","Capgemini","Hyderabad",11,"Docker, Node.js, AWS","1179000.00","1340629.00","Contract","Remote"
45,"Cybersecurity Analyst","Capgemini","Chennai",2,"Azure, React, AWS","1323766.00","1467045.00","Full-time","Hybrid"
46,"DevOps Engineer","Capgemini","Noida",10,"Machine Learning, Java, AWS","1761729.00","2156156.00","Contract","Onsite"
47,"Frontend Developer","Cognizant","Pune",13,"Java, Tableau, Kubernetes","1245685.00","1529240.00","Internship","Remote"
48,"Software Engineer","Tech Mahindra","Chennai",10,"Tableau, Azure, Java","1404492.00","1644806.00","Internship","Remote"
49,"Backend Developer","Infosys","Chennai",4,"Azure, Kubernetes, Tableau","745673.00","1019616.00","Internship","Hybrid"
50,"DevOps Engineer","Cognizant","Delhi NCR",10,"SQL, React, Tableau","745551.00","1133770.00","Internship","Remote"
51,"Cloud Engineer","Tech Mahindra","Bangalore",13,"Power BI, Java, Python","1883578.00","2093632.00","Contract","Remote"
52,"Backend Developer","Capgemini","Delhi NCR",13,"Python, Node.js, AWS","636943.00","912062.00","Internship","Onsite"
53,"Backend Developer","Zoho","Chennai",6,"Kubernetes, React, Machine Learning","842479.00","951805.00","Full-time","Remote"
54,"ML Engineer","Tech Mahindra","Pune",3,"Tableau, AWS, Kubernetes","2030283.00","2136256.00","Internship","Onsite"
55,"Backend Developer","Zoho","Mumbai",13,"SQL, Python, Azure","588376.00","985975.00","Contract","Onsite"
56,"Software Engineer","Tech Mahindra","Delhi NCR",15,"Machine Learning, Node.js, Kubernetes","1576732.00","1798028.00","Contract","Hybrid"
57,"Cybersecurity Analyst","Capgemini","Mumbai",1,"Python, Tableau, Machine Learning","1285838.00","1516963.00","Contract","Hybrid"
58,"ML Engineer","HCLTech","Bangalore",12,"Power BI, SQL, Docker","1670790.00","1914253.00","Internship","Remote"
59,"Backend Developer","Tech Mahindra","Delhi NCR",10,"Machine Learning, Java, SQL","1006039.00","1153601.00","Internship","Onsite"
60,"Backend Developer","Infosys","Pune",12,"Python, Tableau, AWS","1493497.00","1870317.00","Full-time","Hybrid"
61,"Cloud Engineer","Capgemini","Mumbai",6,"Docker, React, Machine Learning","1904311.00","2070625.00","Contract","Remote"
62,"DevOps Engineer","Wipro","Bangalore",4,"React, Python, Azure","1096473.00","1276160.00","Contract","Onsite"
63,"Software Engineer","Capgemini","Mumbai",11,"Java, Python, Node.js","1061110.00","1444392.00","Internship","Onsite"
64,"DevOps Engineer","HCLTech","Delhi NCR",0,"Docker, SQL, Tableau","1727064.00","2113362.00","Internship","Remote"
